State,Yr,TotalPop,Men,Women,VotingAgeCitizen,Employed,Hispanic,White,Black,Native,Asian,Pacific,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Income,IncomePerCap
Alabama,2015,4830620,48.46361336640017,51.53638663359983,74.95919778413537,2022325,3.9993118274672814,66.34114184100592,26.302822826055454,0.45616562677254685,1.2287180941576856,0.022674480708480486,18.848808144710205,27.29485360057302,32.76891703342429,16.81237774861198,24.041066488359675,10.060592097908756,16.312140615490353,85.42353685448244,9.245189727198577,0.4075812835619444,1.1213337004359691,1.0415444601314117,2.7433438978847446,24.45801350551276,78.22372035059682,16.313379317768735,5.27978741859223,0.1878997726999847,9.408100782094227,45259.2493244162,24091.518225817803
Alaska,2015,733375,52.38247826828021,47.61752173171978,71.44312254985512,351108,6.527631975455941,62.37639215953637,3.2216636782001014,13.416348252940177,5.772952991307314,1.1793328106357597,10.175692108402929,13.585294017385378,36.10530656212714,17.567887779103465,22.740321390830065,12.669918254644626,10.931250315322993,66.8673581728311,12.56573171978865,1.5695937276291123,8.24129469916482,6.143167138230784,4.622103016874041,19.14181789671041,67.93542989602864,25.585477825123565,6.296243667973411,0.18537024032725416,8.446447860916994,73144.4175837634,33413.4286633714
Arizona,2015,6641928,49.67063780275848,50.32936219724152,68.1518077281175,2813406,30.338523136655503,56.48865314408707,3.9599952905240774,4.002505070816788,2.917962675897722,0.1745257250605547,18.223001514018218,25.963794307917826,34.74394672751647,20.112820132949356,26.122627541280185,9.370591174731194,9.719179732150064,76.52867327077317,11.100768888190297,2.0363893435761424,2.105628395851325,2.724845421389693,5.5248970027979825,24.787417569115473,78.76669251759431,15.162411832829264,5.932035818515347,0.19590941064100664,9.092709722237279,50948.31584634425,25847.425294733697
Arkansas,2015,2958208,49.08082866383973,50.919171336160275,73.15520071610922,1256081,6.87079884173121,73.59632402454459,15.436414410345725,0.560054059755095,1.3520329875384014,0.22428122025226088,19.321146721258284,27.761851161243566,31.574530628001828,17.180325014333,23.734035841969195,10.863239062297174,16.64877581292458,82.46239659280211,10.870561806336815,0.42538073725715025,1.7747108046493008,1.2564105363787805,3.189730776199645,21.692035989355716,76.99293386401497,16.455038083866995,6.359777845236037,0.19419804151702658,7.814722527962872,42568.64015935278,22798.44808580059
California,2015,38421464,49.67831262234047,50.32168737765953,63.19475228741934,17246360,38.380973804121574,38.7250354671545,5.616551612921361,0.3766227986523366,13.515131617577092,0.3468656634218832,16.294261743904396,21.997279723646137,36.712750927450344,18.880480168584935,23.74572444194214,9.458108717564746,11.217510433751295,73.73619696271855,10.912672005418637,4.913541714599943,2.6494661291407318,2.4943172675564895,5.275353802239292,27.906002566690336,77.52494218335877,14.042379884327158,8.274415378862187,0.20095433896011872,10.009094057425814,64169.497490253016,30318.055748109964
Colorado,2015,5278906,50.174543740691725,49.82545625930827,71.05549899922447,2624436,21.075874963486754,69.06542868920187,3.8438678961133212,0.5472858580925668,2.8577319997741952,0.11556718380664478,12.713547485028156,16.804339383955693,40.05653557763674,17.588821945304577,23.844508824366258,9.50616254580021,9.02064520565435,75.4470457136384,9.59171589719537,3.043118062719813,2.956439572896354,2.360321968225993,6.604850076890932,24.734707001791655,79.20826006373291,14.192019236561512,6.419765231659741,0.19573405929183058,7.0320400476917,62485.316256140366,32216.470093803528
Connecticut,2015,3593222,48.74753076765087,51.25246923234913,71.63982631743878,1781417,14.673648691898247,69.22953669436511,9.657835864302287,0.11531040943198055,4.154947732146804,0.0,10.513742457326599,14.302587677577398,41.68496419091279,17.811057346303677,23.538370075659117,7.392244370094583,9.600744011920224,78.3022187607668,8.227782168761074,4.8770830747446166,3.0153487872444287,1.1678132884636685,4.376932763965043,25.471339093437585,80.27112432797084,13.190442421870955,6.306344445180398,0.16817917178509983,8.82201160963614,71247.11574325383,38802.841462342156
Delaware,2015,926454,48.40099994171324,51.59900005828676,73.57148870855973,433816,8.70599349778834,63.869943138029505,21.05731121027056,0.2955620030784043,3.5967420940489223,0.0,12.052737534729193,17.574054081476255,38.08116441830896,18.58532004827007,24.134307153943965,8.614419820088209,10.644116167667256,81.13474765071985,8.403599854930736,2.9720282928240365,2.1678449226836953,1.1342551276156183,4.187524151226072,25.497899949700688,81.19366066744814,14.684970759476457,3.9847754988375033,0.13659307423790062,7.717220498805122,61215.81763005514,30553.372314221753
District of Columbia,2015,647484,47.36395030610795,52.63604969389205,74.92324134650431,337815,10.200000000000001,35.6,48.00000000000001,0.2,3.6000000000000005,0.0,18.0,26.700000000000003,60.9,15.2,17.4,2.9000000000000004,3.7000000000000006,33.7,5.7,37.4,12.9,5.2,5.0,29.7,70.0,25.4,4.4,0.1,9.6,70848.0,47675.0
Florida,2015,19645772,48.865521802859156,51.134478197140844,70.92137687437277,8541291,23.730983119421314,56.059553200556344,15.442639169384634,0.21032195629675435,2.543774517998071,0.03927019513409806,16.564115897303502,24.077427988067864,33.77585668305627,20.650587902577712,27.296889284880226,9.154330947137126,9.119582885314967,79.62243276568617,9.502783616749703,2.034543198404216,1.4492831892785885,2.2355138856340186,5.124702007129065,26.346645028762428,81.31804389768953,12.604360205340873,5.918336143776891,0.15583073548853163,9.735170254444569,47989.57044093217,26829.026218465733
Georgia,2015,10006693,48.80064772647667,51.19935227352334,69.73992306948959,4388274,9.139446058752876,54.567414279622625,30.522317143136107,0.1873972849971514,3.5814186464998947,0.02399793817997614,18.476758995204506,26.36027006124801,35.29117081937062,17.097614206811368,24.7113019456078,9.347104972641809,13.53650167942596,79.76921650339428,10.37415422857482,1.9810565888251,1.5885552299845722,1.5933412267169589,4.700645677847814,27.166654947843423,78.71225610698758,15.572550012276787,5.527299468465756,0.17239068891191126,9.695397080733862,51974.49025311546,25737.10502750509
Hawaii,2015,1406299,50.47795667919838,49.52204332080162,71.23158019738335,653284,9.855651891951855,22.926212633302026,1.9296512334859086,0.1321816342043904,36.74750625578202,9.081180033549053,11.232962762541963,15.21003567024649,34.05982397768895,22.72070100312949,24.795722886811415,9.786642598764558,8.637115577839422,66.91372773499805,14.046828092745567,6.391151739423835,4.488630725044959,3.530258358997625,4.638063740356781,26.700054611430428,72.15678067039796,20.65172257108908,6.919122889229104,0.18877429337573304,6.078854567911945,70164.8148309158,29821.947937102992
Idaho,2015,1616547,50.13550487551552,49.86449512448447,69.93610454876969,715861,11.839058437521457,83.04433084840711,0.5774597336173956,1.0805991412560227,1.2858233630076952,0.11802700447311461,15.473844002061183,19.012575570026733,33.12980445356676,18.02464017439642,24.009125190916198,12.132003028677792,12.707715086539393,77.90126553697479,10.071030845375976,0.7589676019317716,3.027176877628673,2.347484855064528,5.9300696484543955,20.34086005541441,76.21528950287245,15.839257318222113,7.678502635555909,0.28415233210045854,7.2304610382500485,48356.83164329388,23398.60089190107
Illinois,2015,12873761,49.068015166663415,50.931984833336585,69.75427771262804,6086226,16.473758748511802,62.47698238300372,14.146642546805085,0.11366763760799974,4.973357474944582,0.0022430896456754165,14.364355024145617,20.5437851922216,36.662039275080524,17.4736714236034,24.486290688478675,7.355062409501004,14.020879228688498,73.43074547523446,8.526308232691287,9.084405396371732,3.109779612966248,1.6602538061721048,4.187592910882843,28.294071608133788,82.69091716088249,12.490486983562924,4.694293408119043,0.13791874806437682,9.067456705153997,59546.5325114447,30494.02518657912
Indiana,2015,6568645,49.25312602523047,50.746873974769535,73.09137577080205,3038762,6.410503810146534,80.51108131129023,9.044748056867133,0.18380676684460795,1.838947682512908,0.01883924310112664,15.409934103608885,22.05692078046539,32.08303846531514,17.1052818503664,23.267481771354667,8.885605798456146,18.68595858049872,82.9855065999152,9.050048404199035,1.1014964425692058,2.094610852009813,1.4698759942118955,3.309386410743769,23.3525437285772,84.20058445843853,11.007974095113985,4.634753697299825,0.15682652967240585,7.872397016431852,50549.43856840384,25346.423271313946
Iowa,2015,3093526,49.606662429861586,50.39333757013841,73.86800692801677,1573510,5.42990302974664,87.40270574742222,3.0891627547335965,0.27423858729488615,2.025835826173757,0.05617955045472382,12.527552087811774,15.79318567227171,34.26913715934504,16.658053076004535,23.29715392726617,9.435676861936832,16.35336095445779,80.6220571606639,8.795076750607558,1.0914353718055056,3.496905893145879,1.5288065463164047,4.480422566353086,18.885953277910073,79.75195152715702,13.46989645472513,6.55798771369628,0.22324525476753715,4.954069369386259,54023.69216210891,27949.56265730432
Kansas,2015,2892987,49.770773252696955,50.229226747303045,70.99648218260228,1401197,11.173565695248543,77.04388823731317,5.661216866857681,0.7077684759731034,2.579492579814566,0.03607914587932818,13.625082725916151,17.82599292703355,36.3143345960421,16.886640797210635,22.924462329073712,10.06935350902026,13.813521664632432,82.15348178197827,9.625363162710379,0.475756026556635,2.3592411925805394,1.3336452946383792,4.050355393923306,19.094260983544004,77.67877218252275,16.049290439258804,6.085576361041373,0.19125651100402455,5.981066904206622,54608.251745471905,27706.47162431079
Kentucky,2015,4397353,49.216153445038415,50.783846554961585,74.97937964043369,1891381,3.272784286364999,85.55111083872502,7.782590321950498,0.16412469046719697,1.2448212595168047,0.03842006770891487,18.921161275885737,26.268022580857174,32.323143218204216,16.923215216062943,23.769998223931537,9.94615415228207,17.049799549865554,82.45539211884972,9.874041360791363,1.016237586566282,2.314162952121423,1.2703741773744341,3.0620230852515142,23.177656763057232,78.82448541201947,15.49279939545449,5.51474064056263,0.16392097700593972,8.648831421994098,46097.42647198,24063.25406943677
